CITY,TEAM,ROOF_TYPE,CAPACITY,LATITUDE,LONGITUDE,REGION,COLOR1,SCHEDULE DATE,SCHEDULE SEASON,HOME SCORE,AWAY SCORE,STADIUM,WIN_LOSS
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,09/13/2015,2015,31.0,19.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,09/27/2015,2015,47.0,7.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,10/04/2015,2015,22.0,24.0,University of Phoenix Stadium,L
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,10/26/2015,2015,26.0,18.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,11/22/2015,2015,34.0,31.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,12/10/2015,2015,23.0,20.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,12/27/2015,2015,38.0,8.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,01/03/2016,2015,6.0,36.0,University of Phoenix Stadium,L
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,09/11/2016,2016,21.0,23.0,University of Phoenix Stadium,L
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,09/18/2016,2016,40.0,7.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,10/02/2016,2016,13.0,17.0,University of Phoenix Stadium,L
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,10/17/2016,2016,28.0,3.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,10/23/2016,2016,6.0,6.0,University of Phoenix Stadium,L
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,11/13/2016,2016,23.0,20.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,12/04/2016,2016,31.0,23.0,University of Phoenix Stadium,W
Glendale,Arizona Cardinals,Retractable,63400.0,33.52713,-112.25876,West,black,12/18/2016,2016,41.0,48.0,University of Phoenix Stadium,L
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,09/13/2015,2015,19.0,13.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,10/04/2015,2015,23.0,20.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,11/01/2015,2015,29.0,10.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,11/15/2015,2015,13.0,29.0,Sports Authority Field at Mile High,L
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,11/29/2015,2015,30.0,24.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,12/13/2015,2015,12.0,15.0,Sports Authority Field at Mile High,L
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,12/28/2015,2015,20.0,17.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,01/03/2016,2015,27.0,20.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,09/08/2016,2016,21.0,20.0,Sports Authority Field at Mile High,W
Denver,Denver Broncos,Open,76125.0,39.74396,-105.02028,West,navy,09/18/2016,2016,34.0,20.0,Sports Authority Field at Mile High,W
