,weather_key,Game Date,City,Temperature,Weather,Code
0,Glendale-42260,9/13/2015,Glendale,103,Partly cloudy,116
1,Glendale-42274,9/27/2015,Glendale,103,Clear,113
2,Glendale-42281,10/4/2015,Glendale,84,Clear,113
3,Glendale-42303,10/26/2015,Glendale,88,Clear,113
4,Glendale-42330,11/22/2015,Glendale,67,Clear,113
5,Glendale-42348,12/10/2015,Glendale,72,Clear,113
6,Glendale-42365,12/27/2015,Glendale,56,Clear,113
7,Glendale-42372,1/3/2016,Glendale,68,Cloudy,119
8,Glendale-42624,9/11/2016,Glendale,98,Clear,113
9,Glendale-42631,9/18/2016,Glendale,104,Clear,113
10,Glendale-42645,10/2/2016,Glendale,90,Clear,113
11,Glendale-42660,10/17/2016,Glendale,81,Clear,113
12,Glendale-42666,10/23/2016,Glendale,90,Clear,113
13,Glendale-42687,11/13/2016,Glendale,80,Clear,113
14,Glendale-42708,12/4/2016,Glendale,69,Clear,113
15,Glendale-42722,12/18/2016,Glendale,58,Clear,113
16,Denver-42260,9/13/2015,Denver,80,Overcast,122
17,Denver-42281,10/4/2015,Denver,57,Light rain shower,353
18,Denver-42309,11/1/2015,Denver,70,Clear,113
19,Denver-42323,11/15/2015,Denver,51,Overcast,122
20,Denver-42337,11/29/2015,Denver,20,Mist,143
21,Denver-42351,12/13/2015,Denver,27,Partly cloudy,116
22,Denver-42366,12/28/2015,Denver,17,Freezing fog,260
23,Denver-42372,1/3/2016,Denver,32,Partly cloudy,116
24,Denver-42621,9/8/2016,Denver,84,Clear,113
25,Denver-42631,9/18/2016,Denver,80,Clear,113
26,Denver-42652,10/9/2016,Denver,70,Partly cloudy,116
27,Denver-42667,10/24/2016,Denver,70,Clear,113
28,Denver-42673,10/30/2016,Denver,69,Overcast,122
29,Denver-42701,11/27/2016,Denver,32,Clear,113
30,Denver-42722,12/18/2016,Denver,28,Clear,113
31,Denver-42736,1/1/2017,Denver,38,Clear,113
32,Jacksonville-42260,9/13/2015,Jacksonville,86,Overcast,122
33,Jacksonville-42267,9/20/2015,Jacksonville,98,Clear,113
34,Jacksonville-42295,10/18/2015,Jacksonville,68,Cloudy,119
35,Jacksonville-42302,10/25/2015,Jacksonville,83,Clear,113
36,Jacksonville-42327,11/19/2015,Jacksonville,67,Moderate rain,302
37,Jacksonville-42337,11/29/2015,Jacksonville,77,Overcast,122
38,Jacksonville-42351,12/13/2015,Jacksonville,79,Clear,113
39,Jacksonville-42358,12/20/2015,Jacksonville,65,Overcast,122
40,Jacksonville-42624,9/11/2016,Jacksonville,95,Clear,113
41,Jacksonville-42638,9/25/2016,Jacksonville,92,Light rain shower,353
42,Jacksonville-42645,10/2/2016,Jacksonville,89,Cloudy,119
43,Jacksonville-42666,10/23/2016,Jacksonville,70,Clear,113
44,Jacksonville-42687,11/13/2016,Jacksonville,72,Overcast,122
45,Jacksonville-42708,12/4/2016,Jacksonville,79,Overcast,122
46,Jacksonville-42715,12/11/2016,Jacksonville,73,Light drizzle,266
