,Game Date,City,Temperature,Weather,Code
0,2015-09-13,Glendale,103,Partly cloudy,116
1,2015-09-27,Glendale,103,Clear,113
2,2015-10-04,Glendale,84,Clear,113
3,2015-10-26,Glendale,88,Clear,113
4,2015-11-22,Glendale,67,Clear,113
5,2015-12-10,Glendale,72,Clear,113
6,2015-12-27,Glendale,56,Clear,113
7,2016-01-03,Glendale,68,Cloudy,119
8,2015-09-13,Denver,80,Overcast,122
9,2015-10-04,Denver,57,Light rain shower,353
10,2015-11-01,Denver,70,Clear,113
11,2015-11-15,Denver,51,Overcast,122
12,2015-11-29,Denver,20,Mist,143
13,2015-12-13,Denver,27,Partly cloudy,116
14,2015-12-28,Denver,17,Freezing fog,260
15,2016-01-03,Denver,32,Partly cloudy,116
16,2015-09-13,Jacksonville,86,Overcast,122
17,2015-09-20,Jacksonville,98,Clear,113
18,2015-10-18,Jacksonville,68,Cloudy,119
19,2015-10-25,Jacksonville,83,Clear,113
20,2015-11-19,Jacksonville,67,Moderate rain,302
21,2015-11-29,Jacksonville,77,Overcast,122
22,2015-12-13,Jacksonville,79,Clear,113
23,2015-12-20,Jacksonville,65,Overcast,122
24,2015-09-13,Tampa,88,Light rain shower,353
25,2015-10-04,Tampa,81,Light rain shower,353
26,2015-10-11,Tampa,87,Sunny,113
27,2015-11-08,Tampa,89,Moderate or heavy rain shower,356
28,2015-11-15,Tampa,77,Light drizzle,266
29,2015-12-06,Tampa,82,Patchy rain possible,176
30,2015-12-13,Tampa,85,Sunny,113
31,2015-12-27,Tampa,85,Sunny,113
32,2015-09-14,Atlanta,79,Clear,113
33,2015-10-04,Atlanta,67,Light rain shower,353
34,2015-10-11,Atlanta,73,Clear,113
35,2015-11-01,Atlanta,70,Moderate rain,302
36,2015-11-22,Atlanta,35,Clear,113
37,2015-11-29,Atlanta,62,Light rain,296
38,2015-12-27,Atlanta,71,Cloudy,119
39,2016-01-03,Atlanta,42,Overcast,122
40,2015-09-13,Chicago,65,Clear,113
41,2015-09-20,Chicago,69,Clear,113
42,2015-10-04,Chicago,54,Overcast,122
43,2015-11-01,Chicago,55,Clear,113
44,2015-11-22,Chicago,17,Overcast,122
45,2015-12-06,Chicago,34,Mist,143
46,2015-12-13,Chicago,53,Light rain shower,353
47,2016-01-03,Chicago,16,Clear,113
48,2015-09-21,Indianapolis,71,Clear,113
49,2015-10-04,Indianapolis,71,Overcast,122
50,2015-10-18,Indianapolis,54,Clear,113
51,2015-10-25,Indianapolis,58,Clear,113
52,2015-11-08,Indianapolis,54,Clear,113
53,2015-11-29,Indianapolis,37,Overcast,122
54,2015-12-20,Indianapolis,33,Overcast,122
55,2016-01-03,Indianapolis,21,Overcast,122
56,2015-09-20,New Orleans,100,Partly cloudy,116
57,2015-10-04,New Orleans,77,Clear,113
58,2015-10-15,New Orleans,89,Clear,113
59,2015-11-01,New Orleans,84,Moderate or heavy rain shower,356
60,2015-11-08,New Orleans,65,Overcast,122
61,2015-12-06,New Orleans,64,Overcast,122
62,2015-12-21,New Orleans,65,Moderate or heavy rain shower,356
63,2015-12-27,New Orleans,75,Patchy rain possible,176
64,2015-09-27,Detroit,69,Clear,113
65,2015-10-11,Detroit,68,Clear,113
66,2015-10-18,Detroit,44,Clear,113
67,2015-10-25,Detroit,59,Clear,113
68,2015-11-22,Detroit,19,Cloudy,119
69,2015-11-26,Detroit,45,Cloudy,119
70,2015-12-03,Detroit,35,Clear,113
71,2015-12-27,Detroit,29,Overcast,122
72,2015-09-20,Minneapolis,67,Clear,113
73,2015-09-27,Minneapolis,77,Clear,113
74,2015-10-18,Minneapolis,54,Clear,113
75,2015-11-08,Minneapolis,47,Clear,113
